Variable_Name_1,Variable_Name_2,Pearson_Correlation_Coefficient
Runs_Scored,Runs_Batted_In,0.986677612989541
Hits,Runs_Scored,0.804259501138278
Hits,Runs_Batted_In,0.799447531029803
Hits,At_Bats,0.726750246077111
At_Bats,Game_Length_in_Minutes,0.663235316864618
Runs_Batted_In,Home_Runs,0.588093372872726
Doubles,Hits,0.577229358980546
Home_Runs,Runs_Scored,0.56947053012847
Runners_Left_On_Base,Walks,0.54635197043545
Runs_Batted_In,Doubles,0.540867301033761
Runs_Scored,Doubles, 0.537302954294358
Runs_Scored,At_Bats,0.514578348787496
At_Bats,Runners_Left_On_Base,0.508344146678245
Runs_Batted_In,At_Bats,0.507566202659097
Game_Result,Runs_Scored,0.57334691422394
Game_Result,Runs_Batted_In,0.562625783200702
Game_Result,Hits,0.438606921533123
Game_Result,Home_Runs,0.333551188484333
Game_Result,Doubles,0.259839851318805
Game_Result,Walks,0.191190868644428
Game_Result,At_Bats,0.180511838282455
Game_Result,Stolen_Bases,0.149597787281031
Game_Result,Sacrifice_Flies,0.144161215507922
Game_Result,Triples,0.131675619043015
Game_Result,Hit_By_Pitch,0.0671766609909617
Game_Result,Reached_On_Error,0.057810593136492
Game_Result,Grounded_into_Double_Play,0.0532012136111685
Game_Result,Sacrifice_Hits0.0495317387372651
Game_Result,Caught_Stealing,0.0414407981548775
Game_Result,Game_Length_in_Minutes,0.0204686787513652
Game_Result,Runners_Left_On_Base,-0.0184935398383132
Game_Result,Attendance_in_Tickets_Sold-0.0348571250485237
Game_Result,Number_of_Players_Used_in_Game,-0.0420023256039244
Game_Result,Strikeouts,-0.199152533738936
