Key,Game_Date,Game_Month,Game_Day_of_Week,Team,Opponent,Opponent_Division,Game_Result
1,2016-04-05,April,Tuesday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,1
2,2016-04-06,April,Wednesday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,0
3,2016-04-08,April,Friday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
4,2016-04-09,April,Saturday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
5,2016-04-10,April,Sunday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0
6,2016-04-11,April,Monday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0
7,2016-04-12,April,Tuesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0
8,2016-04-13,April,Wednesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
9,2016-04-15,April,Friday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
10,2016-04-16,April,Saturday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
11,2016-04-17,April,Sunday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0
12,2016-04-18,April,Monday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0
13,2016-04-19,April,Tuesday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
14,2016-04-20,April,Wednesday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
15,2016-04-21,April,Thursday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
16,2016-04-22,April,Friday,Boston Red Sox,Houston Astros,American League (AL) Central,1
17,2016-04-23,April,Saturday,Boston Red Sox,Houston Astros,American League (AL) Central,0
18,2016-04-24,April,Sunday,Boston Red Sox,Houston Astros,American League (AL) Central,1
19,2016-04-25,April,Monday,Boston Red Sox,Atlanta Braves,National League (NL) East,1
20,2016-04-26,April,Tuesday,Boston Red Sox,Atlanta Braves,National League (NL) East,1
21,2016-04-27,April,Wednesday,Boston Red Sox,Atlanta Braves,National League (NL) East,1
22,2016-04-28,April,Thursday,Boston Red Sox,Atlanta Braves,National League (NL) East,0
23,2016-04-29,April,Friday,Boston Red Sox,New York Yankees,American League (AL) East,1
24,2016-04-30,April,Saturday,Boston Red Sox,New York Yankees,American League (AL) East,1
25,2016-05-01,May,Sunday,Boston Red Sox,New York Yankees,American League (AL) East,1
26,2016-05-03,May,Tuesday,Boston Red Sox,Chicago White Sox,American League (AL) Central,0
27,2016-05-04,May,Wednesday,Boston Red Sox,Chicago White Sox,American League (AL) Central,1
28,2016-05-05,May,Thursday,Boston Red Sox,Chicago White Sox,American League (AL) Central,1
29,2016-05-06,May,Friday,Boston Red Sox,New York Yankees,American League (AL) East,0
30,2016-05-07,May,Saturday,Boston Red Sox,New York Yankees,American League (AL) East,0
31,2016-05-08,May,Sunday,Boston Red Sox,New York Yankees,American League (AL) East,1
32,2016-05-09,May,Monday,Boston Red Sox,Oakland Athletics,American League (AL) West,1
33,2016-05-10,May,Tuesday,Boston Red Sox,Oakland Athletics,American League (AL) West,1
34,2016-05-11,May,Wednesday,Boston Red Sox,Oakland Athletics,American League (AL) West,1
35,2016-05-12,May,Thursday,Boston Red Sox,Houston Astros,American League (AL) Central,1
36,2016-05-13,May,Friday,Boston Red Sox,Houston Astros,American League (AL) Central,0
37,2016-05-14,May,Saturday,Boston Red Sox,Houston Astros,American League (AL) Central,1
38,2016-05-15,May,Sunday,Boston Red Sox,Houston Astros,American League (AL) Central,1
39,2016-05-17,May,Tuesday,Boston Red Sox,Kansas City Royals,American League (AL) West,0
40,2016-05-18,May,Wednesday,Boston Red Sox,Kansas City Royals,American League (AL) West,0
41,2016-05-18,May,Wednesday,Boston Red Sox,Kansas City Royals,American League (AL) West,1
42,2016-05-20,May,Friday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,0
43,2016-05-21,May,Saturday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,1
44,2016-05-22,May,Sunday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,1
45,2016-05-24,May,Tuesday,Boston Red Sox,Colorado Rockies,National League (NL) West,1
46,2016-05-25,May,Wednesday,Boston Red Sox,Colorado Rockies,National League (NL) West,1
47,2016-05-26,May,Thursday,Boston Red Sox,Colorado Rockies,National League (NL) West,0
48,2016-05-27,May,Friday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0
49,2016-05-28,May,Saturday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0
50,2016-05-29,May,Sunday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
51,2016-05-30,May,Monday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
52,2016-05-31,May,Tuesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
53,2016-06-01,June,Wednesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0
54,2016-06-02,June,Thursday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0
55,2016-06-03,June,Friday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0
56,2016-06-04,June,Saturday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
57,2016-06-05,June,Sunday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0
58,2016-06-07,June,Tuesday,Boston Red Sox,San Francisco Giants,National League (NL) West,1
59,2016-06-08,June,Wednesday,Boston Red Sox,San Francisco Giants,National League (NL) West,0
60,2016-06-10,June,Friday,Boston Red Sox,Minnesota Twins,American League (AL) Central,1
61,2016-06-11,June,Saturday,Boston Red Sox,Minnesota Twins,American League (AL) Central,1
62,2016-06-12,June,Sunday,Boston Red Sox,Minnesota Twins,American League (AL) Central,0
63,2016-06-14,June,Tuesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0
64,2016-06-15,June,Wednesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
65,2016-06-16,June,Thursday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0
66,2016-06-17,June,Friday,Boston Red Sox,Seattle Mariners,American League (AL) Central,0
67,2016-06-18,June,Saturday,Boston Red Sox,Seattle Mariners,American League (AL) Central,1
68,2016-06-19,June,Sunday,Boston Red Sox,Seattle Mariners,American League (AL) Central,1
69,2016-06-20,June,Monday,Boston Red Sox,Chicago White Sox,American League (AL) Central,0
70,2016-06-21,June,Tuesday,Boston Red Sox,Chicago White Sox,American League (AL) Central,0
71,2016-06-22,June,Wednesday,Boston Red Sox,Chicago White Sox,American League (AL) Central,0
72,2016-06-23,June,Thursday,Boston Red Sox,Chicago White Sox,American League (AL) Central,1
73,2016-06-24,June,Friday,Boston Red Sox,Texas Rangers,American League (AL) Central,1
74,2016-06-25,June,Saturday,Boston Red Sox,Texas Rangers,American League (AL) Central,0
75,2016-06-26,June,Sunday,Boston Red Sox,Texas Rangers,American League (AL) Central,0
76,2016-06-27,June,Monday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
77,2016-06-28,June,Tuesday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
78,2016-06-29,June,Wednesday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
79,2016-07-01,July,Friday,Boston Red Sox,Los Angeles Angels,American League (AL) West,1
80,2016-07-02,July,Saturday,Boston Red Sox,Los Angeles Angels,American League (AL) West,0
81,2016-07-03,July,Sunday,Boston Red Sox,Los Angeles Angels,American League (AL) West,1
82,2016-07-04,July,Monday,Boston Red Sox,Texas Rangers,American League (AL) Central,1
83,2016-07-05,July,Tuesday,Boston Red Sox,Texas Rangers,American League (AL) Central,0
84,2016-07-06,July,Wednesday,Boston Red Sox,Texas Rangers,American League (AL) Central,1
85,2016-07-08,July,Friday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
86,2016-07-09,July,Saturday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
87,2016-07-10,July,Sunday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
88,2016-07-15,July,Friday,Boston Red Sox,New York Yankees,American League (AL) East,1
89,2016-07-16,July,Saturday,Boston Red Sox,New York Yankees,American League (AL) East,1
90,2016-07-17,July,Sunday,Boston Red Sox,New York Yankees,American League (AL) East,0
91,2016-07-19,July,Tuesday,Boston Red Sox,San Francisco Giants,National League (NL) West,1
92,2016-07-20,July,Wednesday,Boston Red Sox,San Francisco Giants,National League (NL) West,1
93,2016-07-21,July,Thursday,Boston Red Sox,Minnesota Twins,American League (AL) Central,1
