Key,Game_Date,Game_Month,Game_Day_of_Week,Team,Opponent,Opponent_Division,Game_Result,Runs_Scored,Runs_Scored_Metric,Hits,Hits_Metric,Doubles,Triples,Home_Runs,Home_Runs_Metric,Extra_Base_Hits,Extra_Base_Hits_Metric,Walks,Strikeouts,Walks_Minus_Strikeouts,Walks_Minus_Strikeouts_Metric
1,2016-04-05,April,Tuesday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,1,6,Runs_Scored > 5 but <= 9,11,Hits >= 10,1,0,2,Home_Runs > 1,3,Extra_Base_Hits > 0 but <= 5,6,8,-2,Strikeouts > Walks
2,2016-04-06,April,Wednesday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,0,6,Runs_Scored > 5 but <= 9,10,Hits >= 10,2,0,3,Home_Runs > 1,5,Extra_Base_Hits > 0 but <= 5,3,7,-4,Strikeouts > Walks
3,2016-04-08,April,Friday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1,8,Runs_Scored > 5 but <= 9,11,Hits >= 10,4,0,1,Home_Runs = 1,5,Extra_Base_Hits > 0 but <= 5,3,8,-5,Strikeouts > Walks
4,2016-04-09,April,Saturday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1,8,Runs_Scored > 5 but <= 9,11,Hits >= 10,5,1,0,Home_Runs = 0,6,Extra_Base_Hits > 5,4,13,-9,Strikeouts > Walks
5,2016-04-10,April,Sunday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0,0,Runs_Scored <= 1,7,Hits > 3 but <= 9,2,0,0,Home_Runs = 0,2,Extra_Base_Hits > 0 but <= 5,2,11,-9,Strikeouts > Walks
6,2016-04-11,April,Monday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0,7,Runs_Scored > 5 but <= 9,11,Hits >= 10,2,0,1,Home_Runs = 1,3,Extra_Base_Hits > 0 but <= 5,4,8,-4,Strikeouts > Walks
7,2016-04-12,April,Tuesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0,5,Runs_Scored = 4 or 5,10,Hits >= 10,4,0,1,Home_Runs = 1,5,Extra_Base_Hits > 0 but <= 5,1,4,-3,Strikeouts > Walks
8,2016-04-13,April,Wednesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1,4,Runs_Scored = 4 or 5,8,Hits > 3 but <= 9,1,1,0,Home_Runs = 0,2,Extra_Base_Hits > 0 but <= 5,4,7,-3,Strikeouts > Walks
9,2016-04-15,April,Friday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1,5,Runs_Scored = 4 or 5,9,Hits > 3 but <= 9,3,0,0,Home_Runs = 0,3,Extra_Base_Hits > 0 but <= 5,6,7,-1,Strikeouts > Walks
10,2016-04-16,April,Saturday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1,4,Runs_Scored = 4 or 5,9,Hits > 3 but <= 9,1,0,1,Home_Runs = 1,2,Extra_Base_Hits > 0 but <= 5,2,3,-1,Strikeouts > Walks
11,2016-04-17,April,Sunday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0,3,Runs_Scored = 2 or 3,4,Hits > 3 but <= 9,0,0,1,Home_Runs = 1,1,Extra_Base_Hits > 0 but <= 5,4,10,-6,Strikeouts > Walks
12,2016-04-18,April,Monday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0,3,Runs_Scored = 2 or 3,7,Hits > 3 but <= 9,4,0,0,Home_Runs = 0,4,Extra_Base_Hits > 0 but <= 5,1,6,-5,Strikeouts > Walks
13,2016-04-19,April,Tuesday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0,0,Runs_Scored <= 1,1,Hits <= 3,0,0,0,Home_Runs = 0,0,Extra_Base_Hits = 0,2,14,-12,Strikeouts > Walks
14,2016-04-20,April,Wednesday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1,7,Runs_Scored > 5 but <= 9,12,Hits >= 10,3,0,1,Home_Runs = 1,4,Extra_Base_Hits > 0 but <= 5,3,9,-6,Strikeouts > Walks
15,2016-04-21,April,Thursday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0,8,Runs_Scored > 5 but <= 9,15,Hits >= 10,7,0,2,Home_Runs > 1,9,Extra_Base_Hits > 5,5,8,-3,Strikeouts > Walks
16,2016-04-22,April,Friday,Boston Red Sox,Houston Astros,American League (AL) West,1,6,Runs_Scored > 5 but <= 9,15,Hits >= 10,3,2,0,Home_Runs = 0,5,Extra_Base_Hits > 0 but <= 5,1,6,-5,Strikeouts > Walks
17,2016-04-23,April,Saturday,Boston Red Sox,Houston Astros,American League (AL) West,0,3,Runs_Scored = 2 or 3,9,Hits > 3 but <= 9,2,0,0,Home_Runs = 0,2,Extra_Base_Hits > 0 but <= 5,2,9,-7,Strikeouts > Walks
18,2016-04-24,April,Sunday,Boston Red Sox,Houston Astros,American League (AL) West,1,7,Runs_Scored > 5 but <= 9,16,Hits >= 10,3,1,0,Home_Runs = 0,4,Extra_Base_Hits > 0 but <= 5,5,7,-2,Strikeouts > Walks
19,2016-04-25,April,Monday,Boston Red Sox,Atlanta Braves,National League (NL) East,1,1,Runs_Scored <= 1,6,Hits > 3 but <= 9,2,0,1,Home_Runs = 1,3,Extra_Base_Hits > 0 but <= 5,3,11,-8,Strikeouts > Walks
20,2016-04-26,April,Tuesday,Boston Red Sox,Atlanta Braves,National League (NL) East,1,11,Runs_Scored >= 10,13,Hits >= 10,7,1,1,Home_Runs = 1,9,Extra_Base_Hits > 5,3,5,-2,Strikeouts > Walks
21,2016-04-27,April,Wednesday,Boston Red Sox,Atlanta Braves,National League (NL) East,1,9,Runs_Scored > 5 but <= 9,11,Hits >= 10,3,1,2,Home_Runs > 1,6,Extra_Base_Hits > 5,6,6,0,Walks = Strikeouts
22,2016-04-28,April,Thursday,Boston Red Sox,Atlanta Braves,National League (NL) East,0,3,Runs_Scored = 2 or 3,10,Hits >= 10,4,0,0,Home_Runs = 0,4,Extra_Base_Hits > 0 but <= 5,3,9,-6,Strikeouts > Walks
23,2016-04-29,April,Friday,Boston Red Sox,New York Yankees,American League (AL) East,1,4,Runs_Scored = 4 or 5,8,Hits > 3 but <= 9,1,0,1,Home_Runs = 1,2,Extra_Base_Hits > 0 but <= 5,0,6,-6,Strikeouts > Walks
24,2016-04-30,April,Saturday,Boston Red Sox,New York Yankees,American League (AL) East,1,8,Runs_Scored > 5 but <= 9,14,Hits >= 10,2,2,1,Home_Runs = 1,5,Extra_Base_Hits > 0 but <= 5,6,9,-3,Strikeouts > Walks
25,2016-05-01,May,Sunday,Boston Red Sox,New York Yankees,American League (AL) East,1,8,Runs_Scored > 5 but <= 9,14,Hits >= 10,1,0,2,Home_Runs > 1,3,Extra_Base_Hits > 0 but <= 5,3,4,-1,Strikeouts > Walks
26,2016-05-03,May,Tuesday,Boston Red Sox,Chicago White Sox,American League (AL) Central,0,1,Runs_Scored <= 1,4,Hits > 3 but <= 9,0,0,1,Home_Runs = 1,1,Extra_Base_Hits > 0 but <= 5,0,6,-6,Strikeouts > Walks
27,2016-05-04,May,Wednesday,Boston Red Sox,Chicago White Sox,American League (AL) Central,1,5,Runs_Scored = 4 or 5,11,Hits >= 10,1,0,1,Home_Runs = 1,2,Extra_Base_Hits > 0 but <= 5,3,7,-4,Strikeouts > Walks
28,2016-05-05,May,Thursday,Boston Red Sox,Chicago White Sox,American League (AL) Central,1,7,Runs_Scored > 5 but <= 9,12,Hits >= 10,2,1,3,Home_Runs > 1,6,Extra_Base_Hits > 5,7,7,0,Walks = Strikeouts
29,2016-05-06,May,Friday,Boston Red Sox,New York Yankees,American League (AL) East,0,2,Runs_Scored = 2 or 3,13,Hits >= 10,2,0,1,Home_Runs = 1,3,Extra_Base_Hits > 0 but <= 5,2,10,-8,Strikeouts > Walks
30,2016-05-07,May,Saturday,Boston Red Sox,New York Yankees,American League (AL) East,0,2,Runs_Scored = 2 or 3,6,Hits > 3 but <= 9,0,0,1,Home_Runs = 1,1,Extra_Base_Hits > 0 but <= 5,0,8,-8,Strikeouts > Walks
31,2016-05-08,May,Sunday,Boston Red Sox,New York Yankees,American League (AL) East,1,5,Runs_Scored = 4 or 5,7,Hits > 3 but <= 9,1,0,4,Home_Runs > 1,5,Extra_Base_Hits > 0 but <= 5,1,10,-9,Strikeouts > Walks
32,2016-05-09,May,Monday,Boston Red Sox,Oakland Athletics,American League (AL) West,1,14,Runs_Scored >= 10,15,Hits >= 10,6,0,2,Home_Runs > 1,8,Extra_Base_Hits > 5,5,9,-4,Strikeouts > Walks
33,2016-05-10,May,Tuesday,Boston Red Sox,Oakland Athletics,American League (AL) West,1,13,Runs_Scored >= 10,16,Hits >= 10,2,0,3,Home_Runs > 1,5,Extra_Base_Hits > 0 but <= 5,4,4,0,Walks = Strikeouts
34,2016-05-11,May,Wednesday,Boston Red Sox,Oakland Athletics,American League (AL) West,1,13,Runs_Scored >= 10,17,Hits >= 10,5,0,3,Home_Runs > 1,8,Extra_Base_Hits > 5,4,7,-3,Strikeouts > Walks
35,2016-05-12,May,Thursday,Boston Red Sox,Houston Astros,American League (AL) West,1,11,Runs_Scored >= 10,14,Hits >= 10,4,0,2,Home_Runs > 1,6,Extra_Base_Hits > 5,3,7,-4,Strikeouts > Walks
36,2016-05-13,May,Friday,Boston Red Sox,Houston Astros,American League (AL) West,0,6,Runs_Scored > 5 but <= 9,11,Hits >= 10,3,0,1,Home_Runs = 1,4,Extra_Base_Hits > 0 but <= 5,4,10,-6,Strikeouts > Walks
37,2016-05-14,May,Saturday,Boston Red Sox,Houston Astros,American League (AL) West,1,6,Runs_Scored > 5 but <= 9,14,Hits >= 10,5,1,1,Home_Runs = 1,7,Extra_Base_Hits > 5,5,5,0,Walks = Strikeouts
38,2016-05-15,May,Sunday,Boston Red Sox,Houston Astros,American League (AL) West,1,10,Runs_Scored >= 10,14,Hits >= 10,3,1,1,Home_Runs = 1,5,Extra_Base_Hits > 0 but <= 5,3,4,-1,Strikeouts > Walks
39,2016-05-17,May,Tuesday,Boston Red Sox,Kansas City Royals,American League (AL) Central,0,4,Runs_Scored = 4 or 5,8,Hits > 3 but <= 9,1,0,1,Home_Runs = 1,2,Extra_Base_Hits > 0 but <= 5,2,7,-5,Strikeouts > Walks
40,2016-05-18,May,Wednesday,Boston Red Sox,Kansas City Royals,American League (AL) Central,0,2,Runs_Scored = 2 or 3,9,Hits > 3 but <= 9,1,0,1,Home_Runs = 1,2,Extra_Base_Hits > 0 but <= 5,1,13,-12,Strikeouts > Walks
41,2016-05-18,May,Wednesday,Boston Red Sox,Kansas City Royals,American League (AL) Central,1,5,Runs_Scored = 4 or 5,10,Hits >= 10,2,0,2,Home_Runs > 1,4,Extra_Base_Hits > 0 but <= 5,6,8,-2,Strikeouts > Walks
42,2016-05-20,May,Friday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,0,2,Runs_Scored = 2 or 3,6,Hits > 3 but <= 9,2,0,1,Home_Runs = 1,3,Extra_Base_Hits > 0 but <= 5,3,9,-6,Strikeouts > Walks
43,2016-05-21,May,Saturday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,1,9,Runs_Scored > 5 but <= 9,13,Hits >= 10,4,0,2,Home_Runs > 1,6,Extra_Base_Hits > 5,6,1,5,Walks > Strikeouts
44,2016-05-22,May,Sunday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,1,5,Runs_Scored = 4 or 5,12,Hits >= 10,3,0,1,Home_Runs = 1,4,Extra_Base_Hits > 0 but <= 5,5,11,-6,Strikeouts > Walks
45,2016-05-24,May,Tuesday,Boston Red Sox,Colorado Rockies,National League (NL) West,1,8,Runs_Scored > 5 but <= 9,12,Hits >= 10,3,1,0,Home_Runs = 0,4,Extra_Base_Hits > 0 but <= 5,5,3,2,Walks > Strikeouts
46,2016-05-25,May,Wednesday,Boston Red Sox,Colorado Rockies,National League (NL) West,1,10,Runs_Scored >= 10,13,Hits >= 10,4,2,1,Home_Runs = 1,7,Extra_Base_Hits > 5,4,6,-2,Strikeouts > Walks
47,2016-05-26,May,Thursday,Boston Red Sox,Colorado Rockies,National League (NL) West,0,2,Runs_Scored = 2 or 3,6,Hits > 3 but <= 9,2,0,1,Home_Runs = 1,3,Extra_Base_Hits > 0 but <= 5,4,7,-3,Strikeouts > Walks
48,2016-05-27,May,Friday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0,5,Runs_Scored = 4 or 5,7,Hits > 3 but <= 9,1,0,0,Home_Runs = 0,1,Extra_Base_Hits > 0 but <= 5,2,6,-4,Strikeouts > Walks
49,2016-05-28,May,Saturday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0,9,Runs_Scored > 5 but <= 9,15,Hits >= 10,6,0,3,Home_Runs > 1,9,Extra_Base_Hits > 5,1,10,-9,Strikeouts > Walks
50,2016-05-29,May,Sunday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1,5,Runs_Scored = 4 or 5,9,Hits > 3 but <= 9,1,1,0,Home_Runs = 0,2,Extra_Base_Hits > 0 but <= 5,8,5,3,Walks > Strikeouts
51,2016-05-30,May,Monday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1,7,Runs_Scored > 5 but <= 9,11,Hits >= 10,2,1,3,Home_Runs > 1,6,Extra_Base_Hits > 5,5,6,-1,Strikeouts > Walks
52,2016-05-31,May,Tuesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1,6,Runs_Scored > 5 but <= 9,10,Hits >= 10,1,0,4,Home_Runs > 1,5,Extra_Base_Hits > 0 but <= 5,2,10,-8,Strikeouts > Walks
53,2016-06-01,June,Wednesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0,9,Runs_Scored > 5 but <= 9,15,Hits >= 10,2,0,5,Home_Runs > 1,7,Extra_Base_Hits > 5,5,6,-1,Strikeouts > Walks
54,2016-06-02,June,Thursday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0,7,Runs_Scored > 5 but <= 9,12,Hits >= 10,1,0,1,Home_Runs = 1,2,Extra_Base_Hits > 0 but <= 5,2,6,-4,Strikeouts > Walks
55,2016-06-03,June,Friday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0,2,Runs_Scored = 2 or 3,5,Hits > 3 but <= 9,3,0,0,Home_Runs = 0,3,Extra_Base_Hits > 0 but <= 5,6,7,-1,Strikeouts > Walks
56,2016-06-04,June,Saturday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1,6,Runs_Scored > 5 but <= 9,11,Hits >= 10,5,0,0,Home_Runs = 0,5,Extra_Base_Hits > 0 but <= 5,5,5,0,Walks = Strikeouts
57,2016-06-05,June,Sunday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0,4,Runs_Scored = 4 or 5,6,Hits > 3 but <= 9,3,0,1,Home_Runs = 1,4,Extra_Base_Hits > 0 but <= 5,3,7,-4,Strikeouts > Walks
58,2016-06-07,June,Tuesday,Boston Red Sox,San Francisco Giants,National League (NL) West,1,5,Runs_Scored = 4 or 5,9,Hits > 3 but <= 9,4,0,0,Home_Runs = 0,4,Extra_Base_Hits > 0 but <= 5,4,5,-1,Strikeouts > Walks
59,2016-06-08,June,Wednesday,Boston Red Sox,San Francisco Giants,National League (NL) West,0,1,Runs_Scored <= 1,5,Hits > 3 but <= 9,0,0,1,Home_Runs = 1,1,Extra_Base_Hits > 0 but <= 5,2,10,-8,Strikeouts > Walks
60,2016-06-10,June,Friday,Boston Red Sox,Minnesota Twins,American League (AL) Central,1,8,Runs_Scored > 5 but <= 9,16,Hits >= 10,4,1,1,Home_Runs = 1,6,Extra_Base_Hits > 5,1,8,-7,Strikeouts > Walks
61,2016-06-11,June,Saturday,Boston Red Sox,Minnesota Twins,American League (AL) Central,1,15,Runs_Scored >= 10,15,Hits >= 10,2,0,2,Home_Runs > 1,4,Extra_Base_Hits > 0 but <= 5,4,3,1,Walks > Strikeouts
62,2016-06-12,June,Sunday,Boston Red Sox,Minnesota Twins,American League (AL) Central,0,4,Runs_Scored = 4 or 5,7,Hits > 3 but <= 9,1,0,1,Home_Runs = 1,2,Extra_Base_Hits > 0 but <= 5,6,7,-1,Strikeouts > Walks
63,2016-06-14,June,Tuesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0,2,Runs_Scored = 2 or 3,7,Hits > 3 but <= 9,3,0,1,Home_Runs = 1,4,Extra_Base_Hits > 0 but <= 5,3,11,-8,Strikeouts > Walks
64,2016-06-15,June,Wednesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1,6,Runs_Scored > 5 but <= 9,13,Hits >= 10,1,0,1,Home_Runs = 1,2,Extra_Base_Hits > 0 but <= 5,4,4,0,Walks = Strikeouts
65,2016-06-16,June,Thursday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0,1,Runs_Scored <= 1,4,Hits > 3 but <= 9,1,0,1,Home_Runs = 1,2,Extra_Base_Hits > 0 but <= 5,1,6,-5,Strikeouts > Walks
66,2016-06-17,June,Friday,Boston Red Sox,Seattle Mariners,American League (AL) West,0,4,Runs_Scored = 4 or 5,11,Hits >= 10,3,0,1,Home_Runs = 1,4,Extra_Base_Hits > 0 but <= 5,1,4,-3,Strikeouts > Walks
67,2016-06-18,June,Saturday,Boston Red Sox,Seattle Mariners,American League (AL) West,1,6,Runs_Scored > 5 but <= 9,12,Hits >= 10,2,0,2,Home_Runs > 1,4,Extra_Base_Hits > 0 but <= 5,1,5,-4,Strikeouts > Walks
68,2016-06-19,June,Sunday,Boston Red Sox,Seattle Mariners,American League (AL) West,1,2,Runs_Scored = 2 or 3,11,Hits >= 10,1,1,1,Home_Runs = 1,3,Extra_Base_Hits > 0 but <= 5,4,5,-1,Strikeouts > Walks
69,2016-06-20,June,Monday,Boston Red Sox,Chicago White Sox,American League (AL) Central,0,1,Runs_Scored <= 1,5,Hits > 3 but <= 9,0,0,0,Home_Runs = 0,0,Extra_Base_Hits = 0,5,10,-5,Strikeouts > Walks
70,2016-06-21,June,Tuesday,Boston Red Sox,Chicago White Sox,American League (AL) Central,0,1,Runs_Scored <= 1,6,Hits > 3 but <= 9,1,0,0,Home_Runs = 0,1,Extra_Base_Hits > 0 but <= 5,2,11,-9,Strikeouts > Walks
71,2016-06-22,June,Wednesday,Boston Red Sox,Chicago White Sox,American League (AL) Central,0,6,Runs_Scored > 5 but <= 9,13,Hits >= 10,2,0,1,Home_Runs = 1,3,Extra_Base_Hits > 0 but <= 5,8,5,3,Walks > Strikeouts
72,2016-06-23,June,Thursday,Boston Red Sox,Chicago White Sox,American League (AL) Central,1,8,Runs_Scored > 5 but <= 9,12,Hits >= 10,3,0,0,Home_Runs = 0,3,Extra_Base_Hits > 0 but <= 5,9,7,2,Walks > Strikeouts
73,2016-06-24,June,Friday,Boston Red Sox,Texas Rangers,American League (AL) West,1,8,Runs_Scored > 5 but <= 9,9,Hits > 3 but <= 9,1,0,3,Home_Runs > 1,4,Extra_Base_Hits > 0 but <= 5,5,5,0,Walks = Strikeouts
74,2016-06-25,June,Saturday,Boston Red Sox,Texas Rangers,American League (AL) West,0,3,Runs_Scored = 2 or 3,7,Hits > 3 but <= 9,2,0,1,Home_Runs = 1,3,Extra_Base_Hits > 0 but <= 5,4,9,-5,Strikeouts > Walks
75,2016-06-26,June,Sunday,Boston Red Sox,Texas Rangers,American League (AL) West,0,2,Runs_Scored = 2 or 3,8,Hits > 3 but <= 9,0,0,1,Home_Runs = 1,1,Extra_Base_Hits > 0 but <= 5,3,3,0,Walks = Strikeouts
76,2016-06-27,June,Monday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0,7,Runs_Scored > 5 but <= 9,12,Hits >= 10,2,0,1,Home_Runs = 1,3,Extra_Base_Hits > 0 but <= 5,4,7,-3,Strikeouts > Walks
77,2016-06-28,June,Tuesday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1,8,Runs_Scored > 5 but <= 9,11,Hits >= 10,4,0,1,Home_Runs = 1,5,Extra_Base_Hits > 0 but <= 5,6,11,-5,Strikeouts > Walks
78,2016-06-29,June,Wednesday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0,0,Runs_Scored <= 1,5,Hits > 3 but <= 9,0,0,0,Home_Runs = 0,0,Extra_Base_Hits = 0,2,9,-7,Strikeouts > Walks
79,2016-07-01,July,Friday,Boston Red Sox,Los Angeles Angels,American League (AL) West,1,5,Runs_Scored = 4 or 5,16,Hits >= 10,4,0,1,Home_Runs = 1,5,Extra_Base_Hits > 0 but <= 5,2,7,-5,Strikeouts > Walks
80,2016-07-02,July,Saturday,Boston Red Sox,Los Angeles Angels,American League (AL) West,0,2,Runs_Scored = 2 or 3,8,Hits > 3 but <= 9,3,0,1,Home_Runs = 1,4,Extra_Base_Hits > 0 but <= 5,4,4,0,Walks = Strikeouts
81,2016-07-03,July,Sunday,Boston Red Sox,Los Angeles Angels,American League (AL) West,1,10,Runs_Scored >= 10,16,Hits >= 10,5,0,0,Home_Runs = 0,5,Extra_Base_Hits > 0 but <= 5,5,6,-1,Strikeouts > Walks
82,2016-07-04,July,Monday,Boston Red Sox,Texas Rangers,American League (AL) West,1,12,Runs_Scored >= 10,21,Hits >= 10,9,0,4,Home_Runs > 1,13,Extra_Base_Hits > 5,4,4,0,Walks = Strikeouts
83,2016-07-05,July,Tuesday,Boston Red Sox,Texas Rangers,American League (AL) West,0,2,Runs_Scored = 2 or 3,11,Hits >= 10,2,0,1,Home_Runs = 1,3,Extra_Base_Hits > 0 but <= 5,5,4,1,Walks > Strikeouts
84,2016-07-06,July,Wednesday,Boston Red Sox,Texas Rangers,American League (AL) West,1,11,Runs_Scored >= 10,10,Hits >= 10,5,0,1,Home_Runs = 1,6,Extra_Base_Hits > 5,4,5,-1,Strikeouts > Walks
85,2016-07-08,July,Friday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1,6,Runs_Scored > 5 but <= 9,11,Hits >= 10,0,0,1,Home_Runs = 1,1,Extra_Base_Hits > 0 but <= 5,2,5,-3,Strikeouts > Walks
86,2016-07-09,July,Saturday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1,4,Runs_Scored = 4 or 5,8,Hits > 3 but <= 9,1,0,1,Home_Runs = 1,2,Extra_Base_Hits > 0 but <= 5,4,6,-2,Strikeouts > Walks
87,2016-07-10,July,Sunday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1,4,Runs_Scored = 4 or 5,8,Hits > 3 but <= 9,2,0,1,Home_Runs = 1,3,Extra_Base_Hits > 0 but <= 5,1,9,-8,Strikeouts > Walks
88,2016-07-15,July,Friday,Boston Red Sox,New York Yankees,American League (AL) East,1,5,Runs_Scored = 4 or 5,8,Hits > 3 but <= 9,0,0,3,Home_Runs > 1,3,Extra_Base_Hits > 0 but <= 5,4,10,-6,Strikeouts > Walks
89,2016-07-16,July,Saturday,Boston Red Sox,New York Yankees,American League (AL) East,1,5,Runs_Scored = 4 or 5,10,Hits >= 10,0,0,1,Home_Runs = 1,1,Extra_Base_Hits > 0 but <= 5,4,4,0,Walks = Strikeouts
90,2016-07-17,July,Sunday,Boston Red Sox,New York Yankees,American League (AL) East,0,1,Runs_Scored <= 1,3,Hits <= 3,1,0,1,Home_Runs = 1,2,Extra_Base_Hits > 0 but <= 5,3,9,-6,Strikeouts > Walks
91,2016-07-19,July,Tuesday,Boston Red Sox,San Francisco Giants,National League (NL) West,1,4,Runs_Scored = 4 or 5,4,Hits > 3 but <= 9,0,0,2,Home_Runs > 1,2,Extra_Base_Hits > 0 but <= 5,1,6,-5,Strikeouts > Walks
92,2016-07-20,July,Wednesday,Boston Red Sox,San Francisco Giants,National League (NL) West,1,11,Runs_Scored >= 10,16,Hits >= 10,4,1,5,Home_Runs > 1,10,Extra_Base_Hits > 5,2,3,-1,Strikeouts > Walks
93,2016-07-21,July,Thursday,Boston Red Sox,Minnesota Twins,American League (AL) Central,1,13,Runs_Scored >= 10,17,Hits >= 10,5,0,3,Home_Runs > 1,8,Extra_Base_Hits > 5,2,7,-5,Strikeouts > Walks
94,2016-07-22,July,Friday,Boston Red Sox,Minnesota Twins,American League (AL) Central,0,1,Runs_Scored <= 1,4,Hits > 3 but <= 9,0,0,1,Home_Runs = 1,1,Extra_Base_Hits > 0 but <= 5,2,6,-4,Strikeouts > Walks
95,2016-07-23,July,Saturday,Boston Red Sox,Minnesota Twins,American League (AL) Central,0,9,Runs_Scored > 5 but <= 9,15,Hits >= 10,4,0,1,Home_Runs = 1,5,Extra_Base_Hits > 0 but <= 5,6,7,-1,Strikeouts > Walks
96,2016-07-24,July,Sunday,Boston Red Sox,Minnesota Twins,American League (AL) Central,1,8,Runs_Scored > 5 but <= 9,10,Hits >= 10,0,0,3,Home_Runs > 1,3,Extra_Base_Hits > 0 but <= 5,1,7,-6,Strikeouts > Walks
97,2016-07-25,July,Monday,Boston Red Sox,Detroit Tigers,American League (AL) Central,0,2,Runs_Scored = 2 or 3,10,Hits >= 10,1,0,0,Home_Runs = 0,1,Extra_Base_Hits > 0 but <= 5,3,8,-5,Strikeouts > Walks
