Key,value_count,unique_count,unique_percent,null_count,null_percent,min_value,max_value,mean_value,median_value,stdev_value,most_common_value,least_common_value,min_length,max_length,format_count,most_common_format,least_common_format,pattern_count,most_common_pattern,least_common_pattern,ML_datatype,is_null,is_unique,is_constant
Game_Date,870,856,98.39,0,0.0,2016-04-05,2021-10-03,N/A,N/A,N/A,2016-05-18 (2),2021-10-03 (1),10,10,1,nnnn-nn-nn (870),nnnn-nn-nn (870),1,date (870),date (870),Categorical,False,False,False
Game_Month,870,8,0.92,0,0.0,April,September,N/A,N/A,N/A,August (166),October (6),3,9,6,aaaa (271),aaaaaaa (6),2,alpha (732),alpha_code (138),Categorical,False,False,False
Game_Day_of_Week,870,7,0.8,0,0.0,Friday,Wednesday,N/A,N/A,N/A,Saturday (147),Monday (79),6,9,4,aaaaaa (360),aaaaaaaaa (132),1,alpha (870),alpha (870),Categorical,False,False,False
Team,870,1,0.11,0,0.0,Boston Red Sox,Boston Red Sox,N/A,N/A,N/A,Boston Red Sox (870),Boston Red Sox (870),14,14,1,aaaaaabaaabaaa (870),aaaaaabaaabaaa (870),1,alpha alpha_code alpha_code (870),alpha alpha_code alpha_code (870),Categorical,False,False,True
Opponent,870,29,3.33,0,0.0,Arizona Diamondbacks,Washington Nationals,N/A,N/A,N/A,Toronto Blue Jays (105),Cincinnati Reds (3),12,29,25,aaaaaaaaabaaaaaaa (108),aaaaaaaaaabaaaa (3),7,alpha alpha (391),period_terminated_alpha alpha alpha (4),Categorical,False,False,False
Opponent_Division,870,6,0.69,0,0.0,American League (AL) Central,National League (NL) West,N/A,N/A,N/A,American League (AL) East (420),National League (NL) Central (16),25,28,2,aaaaaaaabaaaaaab(aa)baaaa (689),aaaaaaaabaaaaaab(aa)baaaaaaa (181),1,alpha alpha parenthetical_alpha alpha (870),alpha alpha parenthetical_alpha alpha (870),Categorical,False,False,False
Game_Result,870,2,0.23,0,0.0,0,1,0.5678160919540229,1.0,0.49566457645564,1 (494),0 (376),1,1,1,n (870),n (870),1,integer (870),integer (870),Label,False,False,False
Runs_Scored,870,20,2.3,0,0.0,0,20,5.242528735632184,5.0,3.4620790425179013,5 (116),20 (1),1,2,2,n (774),nn (96),1,integer (870),integer (870),Numerical,False,False,False
Runs_Scored_Metric,870,5,0.57,0,0.0,Runs_Scored <= 1,Runs_Scored >= 10,N/A,N/A,N/A,Runs_Scored > 5 but <= 9 (256),Runs_Scored >= 10 (96),16,24,4,aaaa_aaaaaab=bnbaabn (405),aaaa_aaaaaab>=bnn (96),3,mixed_alpha_special unknown integer alpha_code integer (405),mixed_alpha_special unknown integer (209),Categorical,False,False,False
Hits,870,24,2.76,0,0.0,0,23,9.319540229885057,9.0,3.6303870041464816,9 (114),23 (1),1,2,2,n (491),nn (379),1,integer (870),integer (870),Numerical,False,False,False
Hits_Metric,870,3,0.34,0,0.0,Hits <= 3,Hits >= 10,N/A,N/A,N/A,Hits > 3 but <= 9 (467),Hits <= 3 (24),9,17,3,aaaab>bnbaaab<=bn (467),aaaab<=bn (24),2,alpha special integer alpha_code unknown integer (467),alpha unknown integer (403),Categorical,False,False,False
Doubles,870,11,1.26,0,0.0,0,10,2.060919540229885,2.0,1.631032227457674,1 (229),10 (1),1,2,2,n (869),nn (1),1,integer (870),integer (870),Numerical,False,False,False
Triples,870,3,0.34,0,0.0,0,2,0.15172413793103448,0.0,0.4041960777482787,0 (753),2 (15),1,1,1,n (870),n (870),1,integer (870),integer (870),Numerical,False,False,False
Home_Runs,870,7,0.8,0,0.0,0,6,1.2977011494252872,1.0,1.1906305696534858,1 (314),6 (5),1,1,1,n (870),n (870),1,integer (870),integer (870),Numerical,False,False,False
Home_Runs_Metric,870,3,0.34,0,0.0,Home_Runs = 0,Home_Runs > 1,N/A,N/A,N/A,Home_Runs = 1 (314),Home_Runs = 0 (244),13,13,2,aaaa_aaaab=bn (558),aaaa_aaaab>bn (312),2,mixed_alpha_special unknown integer (558),mixed_alpha_special special integer (312),Categorical,False,False,False
Extra_Base_Hits,870,15,1.72,0,0.0,0,14,3.510344827586207,3.0,2.152261340963582,3 (176),12 (1),1,2,2,n (858),nn (12),1,integer (870),integer (870),Numerical,False,False,False
Extra_Base_Hits_Metric,870,3,0.34,0,0.0,Extra_Base_Hits = 0,Extra_Base_Hits > 5,N/A,N/A,N/A,Extra_Base_Hits > 0 but <= 5 (700),Extra_Base_Hits = 0 (32),19,28,3,aaaaa_aaaa_aaaab>bnbaaab<=bn (700),aaaaa_aaaa_aaaab=bn (32),3,mixed_alpha_special special integer alpha_code unknown integer (700),mixed_alpha_special unknown integer (32),Categorical,False,False,False
Walks,870,14,1.61,0,0.0,0,14,3.433333333333333,3.0,2.073348146231451,3 (178),11 (1),1,2,2,n (862),nn (8),1,integer (870),integer (870),Numerical,False,False,False
Strikeouts,870,17,1.95,0,0.0,1,17,7.988505747126437,8.0,2.8385568744392073,7 (123),16 (1),1,2,2,n (601),nn (269),1,integer (870),integer (870),Numerical,False,False,False
Walks_Minus_Strikeouts,870,22,2.53,0,0.0,-15,6,-4.555172413793104,-5.0,3.6058467615558354,-6 (105),6 (1),1,3,3,-n (695),-nn (71),2,mixed_numeric_special (766),integer (104),Numerical,False,False,False
Walks_Minus_Strikeouts_Metric,870,3,0.34,0,0.0,Strikeouts > Walks,Walks > Strikeouts,N/A,N/A,N/A,Strikeouts > Walks (766),Walks = Strikeouts (38),18,18,3,aaaaaaaaaab>baaaaa (766),aaaaab=baaaaaaaaaa (38),2,alpha special alpha (832),alpha unknown alpha (38),Categorical,False,False,False
