Key,Game_Date,Team,Opponent,Game_Result
1,2016-04-05,Boston Red Sox,Cleveland Indians,1
2,2016-04-06,Boston Red Sox,Cleveland Indians,0
3,2016-04-08,Boston Red Sox,Toronto Blue Jays,1
4,2016-04-09,Boston Red Sox,Toronto Blue Jays,1
5,2016-04-10,Boston Red Sox,Toronto Blue Jays,0
6,2016-04-11,Boston Red Sox,Baltimore Orioles,0
7,2016-04-12,Boston Red Sox,Baltimore Orioles,0
8,2016-04-13,Boston Red Sox,Baltimore Orioles,1
9,2016-04-15,Boston Red Sox,Toronto Blue Jays,1
10,2016-04-16,Boston Red Sox,Toronto Blue Jays,1
11,2016-04-17,Boston Red Sox,Toronto Blue Jays,0
12,2016-04-18,Boston Red Sox,Toronto Blue Jays,0
13,2016-04-19,Boston Red Sox,Tampa Bay Rays,0
14,2016-04-20,Boston Red Sox,Tampa Bay Rays,1
15,2016-04-21,Boston Red Sox,Tampa Bay Rays,0
16,2016-04-22,Boston Red Sox,Houston Astros,1
17,2016-04-23,Boston Red Sox,Houston Astros,0
18,2016-04-24,Boston Red Sox,Houston Astros,1
19,2016-04-25,Boston Red Sox,Atlanta Braves,1
20,2016-04-26,Boston Red Sox,Atlanta Braves,1
21,2016-04-27,Boston Red Sox,Atlanta Braves,1
22,2016-04-28,Boston Red Sox,Atlanta Braves,0
23,2016-04-29,Boston Red Sox,New York Yankees,1
24,2016-04-30,Boston Red Sox,New York Yankees,1
25,2016-05-01,Boston Red Sox,New York Yankees,1
26,2016-05-03,Boston Red Sox,Chicago White Sox,0
27,2016-05-04,Boston Red Sox,Chicago White Sox,1
28,2016-05-05,Boston Red Sox,Chicago White Sox,1
29,2016-05-06,Boston Red Sox,New York Yankees,0
30,2016-05-07,Boston Red Sox,New York Yankees,0
31,2016-05-08,Boston Red Sox,New York Yankees,1
32,2016-05-09,Boston Red Sox,Oakland Athletics,1
33,2016-05-10,Boston Red Sox,Oakland Athletics,1
34,2016-05-11,Boston Red Sox,Oakland Athletics,1
35,2016-05-12,Boston Red Sox,Houston Astros,1
36,2016-05-13,Boston Red Sox,Houston Astros,0
37,2016-05-14,Boston Red Sox,Houston Astros,1
38,2016-05-15,Boston Red Sox,Houston Astros,1
39,2016-05-17,Boston Red Sox,Kansas City Royals,0
40,2016-05-18,Boston Red Sox,Kansas City Royals,0
41,2016-05-18,Boston Red Sox,Kansas City Royals,1
42,2016-05-20,Boston Red Sox,Cleveland Indians,0
43,2016-05-21,Boston Red Sox,Cleveland Indians,1
44,2016-05-22,Boston Red Sox,Cleveland Indians,1
45,2016-05-24,Boston Red Sox,Colorado Rockies,1
46,2016-05-25,Boston Red Sox,Colorado Rockies,1
47,2016-05-26,Boston Red Sox,Colorado Rockies,0
48,2016-05-27,Boston Red Sox,Toronto Blue Jays,0
49,2016-05-28,Boston Red Sox,Toronto Blue Jays,0
50,2016-05-29,Boston Red Sox,Toronto Blue Jays,1
51,2016-05-30,Boston Red Sox,Baltimore Orioles,1
52,2016-05-31,Boston Red Sox,Baltimore Orioles,1
53,2016-06-01,Boston Red Sox,Baltimore Orioles,0
54,2016-06-02,Boston Red Sox,Baltimore Orioles,0
55,2016-06-03,Boston Red Sox,Toronto Blue Jays,0
56,2016-06-04,Boston Red Sox,Toronto Blue Jays,1
57,2016-06-05,Boston Red Sox,Toronto Blue Jays,0
58,2016-06-07,Boston Red Sox,San Francisco Giants,1
59,2016-06-08,Boston Red Sox,San Francisco Giants,0
60,2016-06-10,Boston Red Sox,Minnesota Twins,1
61,2016-06-11,Boston Red Sox,Minnesota Twins,1
62,2016-06-12,Boston Red Sox,Minnesota Twins,0
63,2016-06-14,Boston Red Sox,Baltimore Orioles,0
64,2016-06-15,Boston Red Sox,Baltimore Orioles,1
65,2016-06-16,Boston Red Sox,Baltimore Orioles,0
66,2016-06-17,Boston Red Sox,Seattle Mariners,0
67,2016-06-18,Boston Red Sox,Seattle Mariners,1
68,2016-06-19,Boston Red Sox,Seattle Mariners,1
69,2016-06-20,Boston Red Sox,Chicago White Sox,0
70,2016-06-21,Boston Red Sox,Chicago White Sox,0
71,2016-06-22,Boston Red Sox,Chicago White Sox,0
72,2016-06-23,Boston Red Sox,Chicago White Sox,1
73,2016-06-24,Boston Red Sox,Texas Rangers,1
74,2016-06-25,Boston Red Sox,Texas Rangers,0
75,2016-06-26,Boston Red Sox,Texas Rangers,0
76,2016-06-27,Boston Red Sox,Tampa Bay Rays,0
77,2016-06-28,Boston Red Sox,Tampa Bay Rays,1
78,2016-06-29,Boston Red Sox,Tampa Bay Rays,0
79,2016-07-01,Boston Red Sox,Los Angeles Angels,1
80,2016-07-02,Boston Red Sox,Los Angeles Angels,0
