Key,ML_Prediction,ML_Probability,Runs_Scored_Metric,Hits_Metric,Home_Runs_Metric,Extra_Base_Hits_Metric,Walks_Minus_Strikeouts_Metric,Training_Rows,Training_Correct_Predictions,Training_Incorrect_Predictions
1,0,0.999774922573044,Runs_Scored <= 1,Hits <= 3,Home_Runs = 0,Extra_Base_Hits = 0,Strikeouts > Walks,6,6,0
2,1,0.999727010339926,Runs_Scored >= 10,Hits >= 10,Home_Runs > 1,Extra_Base_Hits > 5,Walks = Strikeouts,1,1,0
3,1,0.999690966244088,Runs_Scored >= 10,Hits >= 10,Home_Runs > 1,Extra_Base_Hits > 5,Walks > Strikeouts,10,9,1
4,1,0.999072832236703,Runs_Scored >= 10,Hits >= 10,Home_Runs = 1,Extra_Base_Hits > 5,Walks = Strikeouts,1,1,0
5,1,0.999057095184849,Runs_Scored >= 10,Hits >= 10,Home_Runs > 1,Extra_Base_Hits > 5,Strikeouts > Walks,40,40,0
6,1,0.998950504634153,Runs_Scored >= 10,Hits >= 10,Home_Runs = 1,Extra_Base_Hits > 5,Walks > Strikeouts,4,4,0
7,1,0.998609078958119,Runs_Scored >= 10,Hits > 3 but <= 9,Home_Runs > 1,Extra_Base_Hits > 5,Walks > Strikeouts,1,1,0
8,1,0.998273579059877,Runs_Scored > 5 but <= 9,Hits >= 10,Home_Runs > 1,Extra_Base_Hits > 5,Walks = Strikeouts,8,8,0
9,1,0.998230347107811,Runs_Scored >= 10,Hits >= 10,Home_Runs > 1,Extra_Base_Hits > 0 but <= 5,Walks = Strikeouts,3,3,0
10,0,0.998121815922581,Runs_Scored <= 1,Hits <= 3,Home_Runs = 0,Extra_Base_Hits > 0 but <= 5,Strikeouts > Walks,10,10,0
11,1,0.998046006745221,Runs_Scored > 5 but <= 9,Hits >= 10,Home_Runs > 1,Extra_Base_Hits > 5,Walks > Strikeouts,2,2,0
12,1,0.997997087503546,Runs_Scored >= 10,Hits >= 10,Home_Runs > 1,Extra_Base_Hits > 0 but <= 5,Walks > Strikeouts,2,2,0
13,0,0.997977944110493,Runs_Scored <= 1,Hits > 3 but <= 9,Home_Runs = 0,Extra_Base_Hits = 0,Strikeouts > Walks,21,21,0
14,0,0.996834941615636,Runs_Scored <= 1,Hits <= 3,Home_Runs = 1,Extra_Base_Hits > 0 but <= 5,Strikeouts > Walks,3,3,0
15,1,0.99680270172364,Runs_Scored >= 10,Hits >= 10,Home_Runs = 1,Extra_Base_Hits > 5,Strikeouts > Walks,9,8,1
16,1,0.995765506819355,Runs_Scored >= 10,Hits > 3 but <= 9,Home_Runs > 1,Extra_Base_Hits > 5,Strikeouts > Walks,1,1,0
17,1,0.99461688520206,Runs_Scored >= 10,Hits >= 10,Home_Runs = 0,Extra_Base_Hits > 5,Strikeouts > Walks,1,1,0
18,1,0.994156831353014,Runs_Scored > 5 but <= 9,Hits >= 10,Home_Runs = 1,Extra_Base_Hits > 5,Walks = Strikeouts,3,3,0
19,1,0.994058150031757,Runs_Scored > 5 but <= 9,Hits >= 10,Home_Runs > 1,Extra_Base_Hits > 5,Strikeouts > Walks,26,20,6
20,1,0.993910001918529,Runs_Scored >= 10,Hits >= 10,Home_Runs > 1,Extra_Base_Hits > 0 but <= 5,Strikeouts > Walks,9,9,0
21,1,0.993390193145171,Runs_Scored > 5 but <= 9,Hits >= 10,Home_Runs = 1,Extra_Base_Hits > 5,Walks > Strikeouts,1,1,0
22,0,0.992608254354845,Runs_Scored = 2 or 3,Hits > 3 but <= 9,Home_Runs = 0,Extra_Base_Hits = 0,Strikeouts > Walks,1,0,1
23,1,0.991038309121815,Runs_Scored >= 10,Hits > 3 but <= 9,Home_Runs > 1,Extra_Base_Hits > 0 but <= 5,Walks > Strikeouts,1,1,0
24,1,0.990179998904679,Runs_Scored > 5 but <= 9,Hits >= 10,Home_Runs = 0,Extra_Base_Hits > 5,Walks = Strikeouts,1,1,0
25,1,0.988897417469604,Runs_Scored > 5 but <= 9,Hits >= 10,Home_Runs = 0,Extra_Base_Hits > 5,Walks > Strikeouts,2,2,0
26,1,0.988896990207558,Runs_Scored > 5 but <= 9,Hits >= 10,Home_Runs > 1,Extra_Base_Hits > 0 but <= 5,Walks = Strikeouts,3,3,0
27,1,0.988622069617193,Runs_Scored >= 10,Hits >= 10,Home_Runs = 0,Extra_Base_Hits > 0 but <= 5,Walks > Strikeouts,3,3,0
28,0,0.988465023891754,Runs_Scored = 2 or 3,Hits <= 3,Home_Runs = 1,Extra_Base_Hits > 0 but <= 5,Strikeouts > Walks,3,3,0
29,1,0.987448960239152,Runs_Scored > 5 but <= 9,Hits >= 10,Home_Runs > 1,Extra_Base_Hits > 0 but <= 5,Walks > Strikeouts,4,4,0
30,0,0.98334656897511,Runs_Scored <= 1,Hits > 3 but <= 9,Home_Runs = 0,Extra_Base_Hits > 0 but <= 5,Strikeouts > Walks,51,45,6
31,1,0.981028345139191,Runs_Scored = 4 or 5,Hits >= 10,Home_Runs > 1,Extra_Base_Hits > 5,Strikeouts > Walks,4,2,2
32,1,0.980089955455607,Runs_Scored > 5 but <= 9,Hits >= 10,Home_Runs = 1,Extra_Base_Hits > 5,Strikeouts > Walks,9,8,1
33,1,0.979600685335486,Runs_Scored >= 10,Hits >= 10,Home_Runs = 1,Extra_Base_Hits > 0 but <= 5,Strikeouts > Walks,6,6,0
34,0,0.97490742206414,Runs_Scored = 2 or 3,Hits > 3 but <= 9,Home_Runs = 0,Extra_Base_Hits = 0,Walks = Strikeouts,1,1,0
35,1,0.973773833969046,Runs_Scored > 5 but <= 9,Hits > 3 but <= 9,Home_Runs > 1,Extra_Base_Hits > 5,Strikeouts > Walks,4,4,0
36,0,0.972217929541055,Runs_Scored <= 1,Hits > 3 but <= 9,Home_Runs = 1,Extra_Base_Hits > 0 but <= 5,Strikeouts > Walks,18,16,2
37,0,0.967535924087168,Runs_Scored = 2 or 3,Hits >= 10,Home_Runs = 0,Extra_Base_Hits = 0,Strikeouts > Walks,1,1,0
38,1,0.966858432220726,Runs_Scored > 5 but <= 9,Hits >= 10,Home_Runs = 0,Extra_Base_Hits > 5,Strikeouts > Walks,2,1,1
39,1,0.96605527160141,Runs_Scored >= 10,Hits >= 10,Home_Runs = 0,Extra_Base_Hits > 0 but <= 5,Strikeouts > Walks,4,4,0
40,0,0.96443168637514,Runs_Scored = 4 or 5,Hits > 3 but <= 9,Home_Runs = 0,Extra_Base_Hits = 0,Strikeouts > Walks,2,0,2
41,1,0.963244477768483,Runs_Scored > 5 but <= 9,Hits >= 10,Home_Runs = 1,Extra_Base_Hits > 0 but <= 5,Walks = Strikeouts,2,2,0
42,1,0.962643355579234,Runs_Scored > 5 but <= 9,Hits >= 10,Home_Runs > 1,Extra_Base_Hits > 0 but <= 5,Strikeouts > Walks,48,40,8
43,0,0.961852990778283,Runs_Scored = 2 or 3,Hits <= 3,Home_Runs > 1,Extra_Base_Hits > 0 but <= 5,Strikeouts > Walks,1,1,0
44,1,0.958590994968755,Runs_Scored > 5 but <= 9,Hits >= 10,Home_Runs = 1,Extra_Base_Hits > 0 but <= 5,Walks > Strikeouts,2,1,1
45,1,0.951846970644659,Runs_Scored > 5 but <= 9,Hits > 3 but <= 9,Home_Runs > 1,Extra_Base_Hits > 0 but <= 5,Walks = Strikeouts,1,1,0
